depth,min_leafs,data_group,test_acc,test_acc_std,test_f1,test_f1_std
20.0,128.0,early,0.8958298489452243,0.02998684231045498,0.8958298489452243,0.02998684231045498
2.0,2.0,static,0.6924987568691766,0.0484174610118113,0.6924987568691766,0.0484174610118113
2.0,32.0,static,0.694318694003188,0.03539309397839916,0.694318694003188,0.03539309397839916
2.0,128.0,static,0.69194238392226,0.04732089322000206,0.69194238392226,0.04732089322000206
10.0,2.0,static,0.7385653695070555,0.03794674091377253,0.7385653695070555,0.03794674091377253
10.0,32.0,static,0.6976305798678,0.036943033737007046,0.6976305798678,0.036943033737007046
10.0,128.0,static,0.6303001218204293,0.04131382669741182,0.6303001218204293,0.04131382669741182
20.0,2.0,static,0.8931253203698329,0.0073204801689529045,0.8931253203698329,0.0073204801689529045
20.0,32.0,static,0.7383376944109605,0.02918845010249859,0.7383376944109605,0.02918845010249859
20.0,128.0,static,0.6318426522339924,0.04139140316533116,0.6318426522339924,0.04139140316533116
2.0,2.0,static,0.6924987568691766,0.0484174610118113,0.6924987568691766,0.0484174610118113
2.0,32.0,static,0.694318694003188,0.03539309397839916,0.694318694003188,0.03539309397839916
2.0,128.0,static,0.69194238392226,0.04732089322000206,0.69194238392226,0.04732089322000206
10.0,2.0,static,0.7385653695070555,0.03794674091377253,0.7385653695070555,0.03794674091377253
10.0,32.0,static,0.6976305798678,0.036943033737007046,0.6976305798678,0.036943033737007046
10.0,128.0,static,0.6303001218204293,0.04131382669741182,0.6303001218204293,0.04131382669741182
20.0,2.0,static,0.8931253203698329,0.0073204801689529045,0.8931253203698329,0.0073204801689529045
20.0,32.0,static,0.7383376944109605,0.02918845010249859,0.7383376944109605,0.02918845010249859
20.0,128.0,static,0.6318426522339924,0.04139140316533116,0.6318426522339924,0.04139140316533116
2.0,2.0,moving,0.6538118481552451,0.0858384815279441,0.6538118481552451,0.0858384815279441
2.0,32.0,moving,0.6365409836903793,0.11750487035848943,0.6365409836903793,0.11750487035848943
2.0,128.0,moving,0.6081226679313154,0.1329372153888986,0.6081226679313154,0.1329372153888986
10.0,2.0,moving,0.9017719375839672,0.026089823792985772,0.9017719375839672,0.026089823792985772
10.0,32.0,moving,0.8851600538924377,0.033347649000270894,0.8851600538924377,0.033347649000270894
10.0,128.0,moving,0.8539343205091658,0.04551155149022208,0.8539343205091658,0.04551155149022208
20.0,2.0,moving,0.9371444486059678,0.0002572711328482201,0.9371444486059678,0.0002572711328482201
20.0,32.0,moving,0.935854948044162,0.001362949687174471,0.935854948044162,0.001362949687174471
20.0,128.0,moving,0.9130738630625886,0.014890462227904805,0.9130738630625886,0.014890462227904805
2.0,2.0,moving,0.6538118481552451,0.0858384815279441,0.6538118481552451,0.0858384815279441
2.0,32.0,moving,0.6365409836903793,0.11750487035848943,0.6365409836903793,0.11750487035848943
2.0,128.0,moving,0.6081226679313154,0.1329372153888986,0.6081226679313154,0.1329372153888986
10.0,2.0,moving,0.9017719375839672,0.026089823792985772,0.9017719375839672,0.026089823792985772
10.0,32.0,moving,0.8851600538924377,0.033347649000270894,0.8851600538924377,0.033347649000270894
10.0,128.0,moving,0.8539343205091658,0.04551155149022208,0.8539343205091658,0.04551155149022208
20.0,2.0,moving,0.9371444486059678,0.0002572711328482201,0.9371444486059678,0.0002572711328482201
20.0,32.0,moving,0.935854948044162,0.001362949687174471,0.935854948044162,0.001362949687174471
20.0,128.0,moving,0.9130738630625886,0.014890462227904805,0.9130738630625886,0.014890462227904805
2.0,2.0,tail,0.6368969153737893,0.0619135285023738,0.6368969153737893,0.0619135285023738
2.0,32.0,tail,0.6167185117199434,0.0666873341202916,0.6167185117199434,0.0666873341202916
2.0,128.0,tail,0.6133347032272827,0.06827472774770897,0.6133347032272827,0.06827472774770897
10.0,2.0,tail,0.8719364910347578,0.041944783861854205,0.8719364910347578,0.041944783861854205
10.0,32.0,tail,0.8435424498816948,0.052641155566881793,0.8435424498816948,0.052641155566881793
10.0,128.0,tail,0.805818727877704,0.06446799098001818,0.805818727877704,0.06446799098001818
20.0,2.0,tail,0.9351216926009108,0.0034272885896590184,0.9351216926009108,0.0034272885896590184
20.0,32.0,tail,0.9303176918288276,0.005571157890196737,0.9303176918288276,0.005571157890196737
20.0,128.0,tail,0.8894334263497716,0.021211769481020423,0.8894334263497716,0.021211769481020423
