depth,min_leafs,data_group,test_acc,test_acc_std,test_f1,test_f1_std
2.0,2.0,static,0.6327138416040718,0.26349675803215605,0.6327138416040718,0.26349675803215605
2.0,8.0,static,0.6102601170081979,0.23962128307434538,0.6102601170081979,0.23962128307434538
2.0,32.0,static,0.6251737989593469,0.24073668880433835,0.6251737989593469,0.24073668880433835
2.0,128.0,static,0.6049072015521928,0.2387372184911485,0.6049072015521928,0.2387372184911485
2.0,256.0,static,0.6125008521933479,0.23910802113087376,0.6125008521933479,0.23910802113087376
3.0,2.0,static,0.5970127807371035,0.24770659983136775,0.5970127807371035,0.24770659983136775
3.0,8.0,static,0.6003996022252353,0.246554781491427,0.6003996022252353,0.246554781491427
3.0,32.0,static,0.6181522031491695,0.24139027427771992,0.6181522031491695,0.24139027427771992
3.0,128.0,static,0.5724572303365616,0.23601912300947228,0.5724572303365616,0.23601912300947228
3.0,256.0,static,0.594415638527404,0.22571527629294555,0.594415638527404,0.22571527629294555
5.0,2.0,static,0.5607134540332502,0.2617092866394431,0.5607134540332502,0.2617092866394431
5.0,8.0,static,0.573494392530475,0.24525132081101128,0.573494392530475,0.24525132081101128
5.0,32.0,static,0.5581458271765316,0.25914880663399087,0.5581458271765316,0.25914880663399087
5.0,128.0,static,0.5650832479150913,0.24789421105338028,0.5650832479150913,0.24789421105338028
5.0,256.0,static,0.5517519603430613,0.22199879105242418,0.5517519603430613,0.22199879105242418
7.0,2.0,static,0.5773202073429304,0.2610444714023836,0.5773202073429304,0.2610444714023836
7.0,8.0,static,0.5778920085671351,0.24900902924802829,0.5778920085671351,0.24900902924802829
7.0,32.0,static,0.5819893019712258,0.2502296334703032,0.5819893019712258,0.2502296334703032
7.0,128.0,static,0.5733030835152466,0.2412791981923655,0.5733030835152466,0.2412791981923655
7.0,256.0,static,0.5586333638208456,0.2155159109998211,0.5586333638208456,0.2155159109998211
10.0,2.0,static,0.6278188653901495,0.24885318950714153,0.6278188653901495,0.24885318950714153
10.0,8.0,static,0.6294054144449345,0.250273883844304,0.6294054144449345,0.250273883844304
10.0,32.0,static,0.615392103669675,0.2452103067972391,0.615392103669675,0.2452103067972391
10.0,128.0,static,0.5838162777059804,0.22575257902475865,0.5838162777059804,0.22575257902475865
10.0,256.0,static,0.5459335869500519,0.21933237100371467,0.5459335869500519,0.21933237100371467
